timestamp,pCut::Motor_Torque,pCut::CTRL_Position_controller::Lag_error,pCut::CTRL_Position_controller::Actual_position,pCut::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Actual_position,pSvolFilm::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Lag_error,pSpintor::VAX_speed
0.00800000,-0.08021637,-0.00186920,198070312,68.66455078,224959020,2315.39843750,1.13591182,1379.99975585
0.01199999,-0.09681335,0.00072479,198070312,44.63195800,224959029,2358.18310546,1.14126145,1379.99975585
0.01599999,-0.11217905,-0.00042343,198070312,6.86645507,224959038,2333.01562500,1.14092576,1379.99975585
0.01999999,-0.08233398,-0.00244522,198070312,-3.43322753,224959048,2353.14990234,1.09630191,1379.99975585
0.02399999,0.00190770,-0.03403663,198070312,-13.73291015,224959057,2335.53247070,1.05972516,1379.99975585
0.02799999,0.12029578,-0.06072235,198070312,-51.49841308,224959067,2307.84863281,1.01407527,1379.99975585
0.03199999,0.13834333,-0.04939842,198070312,-85.83068847,224959076,2335.53247070,1.02883994,1379.99975585
0.03599999,0.14294944,-0.03285408,198070311,-96.13037109,224959085,2307.84814453,1.03755819,1379.99975585
0.03999999,0.23275469,-0.04942131,198070311,-113.29650878,224959094,2345.59960937,1.04829597,1379.99975585
0.04399999,0.21718895,-0.02202415,198070311,-154.49523925,224959104,2320.43212890,1.04894769,1379.99975585
0.04799999,0.21327517,-0.00543785,198070310,-151.06201171,224959113,2360.69995117,1.04863142,1379.99975585
0.05199999,0.20660817,-0.00636482,198070309,-171.66137695,224959122,2333.01562500,1.07949674,1379.99975585
0.05599999,0.24794675,-0.00399971,198070309,-202.56042480,224959132,2322.94873046,1.06706130,1379.99975585
0.05999999,0.27019006,-0.00649070,198070308,-195.69396972,224959141,2335.53247070,1.10799372,1379.99975585
0.06399999,0.25495252,0.00559616,198070307,-223.15979003,224959150,2312.88183593,1.12277781,1379.99975585
0.06799999,0.26484581,0.01183891,198070306,-247.19238281,224959160,2327.98242187,1.14859676,1379.99975585
0.07199999,0.26323878,0.01104164,198070305,-274.65820312,224959169,2317.91503906,1.08687210,1379.99975585
0.07599999,0.28879347,0.00344467,198070304,-291.82434082,224959178,2375.80029296,1.04626202,1379.99975585
0.07999999,0.27432000,0.01383590,198070303,-319.29016113,224959188,2338.04907226,1.03684675,1379.99975585
0.08399999,0.25805646,0.02186012,198070301,-333.02307128,224959197,2320.43188476,1.05462515,1379.99975585
0.08799999,0.28488555,0.01534843,198070300,-350.18920898,224959206,2325.46557617,1.09256315,1379.99975585
0.09199999,0.31315493,0.00273323,198070298,-374.22180175,224959216,2315.39892578,1.05999374,1379.99975585
0.09599999,0.27441796,0.01167869,198070297,-391.38793945,224959225,2330.49926757,1.08887171,1379.99975585
0.09999999,0.24330651,0.02874183,198070295,-425.72021484,224959234,2322.94873046,1.07240533,1379.99975585
0.10399999,0.29229801,0.01687049,198070294,-418.85375976,224959244,2358.18310546,1.07104361,1379.99975585
0.10799999,0.30926001,0.00245285,198070292,-439.45312500,224959253,2338.04931640,1.07572209,1379.99975585
0.11199999,0.29300007,0.00629425,198070290,-480.65185546,224959262,2340.56591796,1.08548545,1379.99975585
0.11599999,0.27152121,0.01624870,198070288,-494.38476562,224959272,2330.49902343,1.14855217,1379.99975585
0.11999999,0.29923927,0.00792121,198070286,-511.55090332,224959281,2317.91528320,1.10191500,1379.99975585
0.12399999,0.32795229,-0.00357627,198070284,-528.71704101,224959290,2340.56591796,1.11064600,1379.99975585
0.12799999,0.28582972,0.01229667,198070282,-552.74963378,224959300,2310.36499023,1.06196951,1379.99975585
0.13199999,0.31350654,0.01044654,198070279,-569.91577148,224959309,2335.53247070,1.10389566,1379.99975585
0.13599999,0.30072629,0.01157379,198070277,-597.38159179,224959318,2355.66625976,1.05931508,1379.99975585
0.13999999,0.47722870,-0.03717994,198070275,-590.51513671,224959328,2360.69995117,0.99777406,1379.99975585
0.14399999,0.37006095,-0.00378799,198070272,-652.31323242,224959337,2335.53247070,1.04130613,1379.99975585
0.14799999,0.31694453,0.01729774,198070270,-659.17968750,224959346,2307.84838867,1.01521635,1379.99975585
0.15199999,0.27082964,0.03833580,198070267,-662.61291503,224959356,2325.46557617,1.08095967,1379.99975585
0.15599998,0.32207545,0.01938819,198070264,-693.51196289,224959365,2327.98242187,1.06573379,1379.99975585
0.15999998,0.31988832,0.01268577,198070261,-717.54455566,224959374,2345.59936523,1.11781203,1379.99975585
0.16399998,0.24041074,0.02868843,198070259,-748.44360351,224959384,2353.14965820,1.15469276,1379.99975585
0.16799998,0.26392278,0.01759910,198070256,-751.87683105,224959393,2408.51782226,1.13323104,1379.99975585
0.17199998,0.32130235,-0.00992584,198070253,-789.64233398,224959403,2380.83374023,1.20337724,1379.99975585
0.17599998,0.27413722,0.01127052,198070249,-823.97460937,224959412,2370.76684570,1.16265213,1379.99975585
0.17999998,0.34810170,-0.00194740,198070246,-823.97460937,224959422,2395.93408203,1.20518040,1379.99975585
0.18399998,0.31114846,-0.00201988,198070243,-854.87365722,224959431,2390.90063476,1.16865801,1379.99975585
0.18799998,0.28045475,0.00991630,198070239,-889.20593261,224959441,2433.68530273,1.16032922,1379.99975585
0.19199998,0.26997667,0.01784324,198070236,-906.37207031,224959451,2451.30249023,1.12546038,1379.99975585
0.19599998,0.26540601,0.01131629,198070232,-923.53820800,224959461,2458.85278320,1.07657420,1379.99975585
0.19999998,0.29303720,0.00157737,198070228,-954.43725585,224959470,2463.88598632,1.16402328,1379.99975585
0.20399998,0.34433323,-0.01278495,198070224,-985.33630371,224959480,2456.33593750,1.15563929,1379.99975585
0.20799998,0.30632081,-0.00250816,198070220,-999.06921386,224959490,2496.60400390,1.17433977,1379.99975585
0.21199998,0.36798480,-0.02395439,198070216,-1057.43408203,224959500,2516.73779296,1.17902898,1379.99975585
0.21599998,0.44194936,-0.03175926,198070212,-1067.73376464,224959510,2529.32153320,1.16672480,1379.99975585
0.21999998,0.43099397,-0.01910209,198070208,-1098.63281250,224959521,2551.97216796,1.19582366,1379.99975585
0.22399998,0.38215246,0.00035095,198070203,-1139.83154296,224959531,2536.87158203,1.22077739,1379.99975585
0.22799998,0.40298217,-0.00542259,198070199,-1177.59704589,224959541,2637.54077148,1.21731853,1379.99975585
0.23199998,0.47226780,-0.01867485,198070194,-1191.32995605,224959552,2607.34008789,1.23429596,1379.99975585
0.23599998,0.52191942,-0.02310752,198070189,-1218.79577636,224959562,2635.02416992,1.19805860,1379.99975585
0.23999998,0.50173777,-0.01897621,198070184,-1259.99450683,224959573,2665.22509765,1.23379123,1379.99975585
0.24399998,0.48100513,0.00413703,198070179,-1270.29418945,224959583,2695.42626953,1.22420978,1379.99975585
0.24799998,0.43321818,0.01608085,198070174,-1318.35937500,224959594,2675.29199218,1.24120521,1379.99975585
0.25199998,0.37705972,0.02874183,198070168,-1376.72424316,224959605,2740.72729492,1.26686704,1379.99975585
0.25599998,0.37042686,0.03333854,198070163,-1397.32360839,224959616,2765.89477539,1.29320323,1379.99975585
0.25999998,0.38342836,0.02263641,198070157,-1435.08911132,224959627,2788.54541015,1.24404466,1379.99975585
0.26399998,0.40409049,0.01406669,198070151,-1462.55493164,224959638,2803.64599609,1.29941797,1379.99975585
0.26799998,0.41827982,0.00577735,198070145,-1510.62011718,224959650,2846.43041992,1.29521763,1379.99975585
0.27199998,0.47464910,-0.00936698,198070139,-1555.25207519,224959661,2859.01391601,1.29174709,1379.99975585
0.27599998,0.46883022,-0.00996971,198070133,-1596.45080566,224959673,2929.48266601,1.30077683,1379.99975585
0.27999998,0.47405251,-0.01176261,198070126,-1644.51599121,224959684,2896.76513671,1.36311888,1379.99975585
0.28399998,0.40304982,-0.00113868,198070119,-1696.01440429,224959696,2939.54956054,1.32861268,1379.99975585
0.28799998,0.39552968,0.00775337,198070113,-1723.48022460,224959708,3007.50146484,1.27608764,1379.99975585
0.29199998,0.43793451,0.00346946,198070105,-1750.94604492,224959720,2997.43457031,1.28957855,1379.99975585
0.29599998,0.40993210,0.00887298,198070098,-1812.74414062,224959732,3045.25268554,1.32921314,1379.99975585
0.29999997,0.35893490,0.01825332,198070091,-1877.97546386,224959744,3057.83618164,1.24315679,1379.99975585
0.30399997,0.31138181,0.03383445,198070083,-1902.00805664,224959757,3133.33837890,1.24684464,1379.99975585
0.30799997,0.37129423,0.00318336,198070076,-1967.23937988,224959769,3135.85498046,1.30441224,1379.99975585
0.31199997,0.39941194,-0.00604057,198070068,-2001.57165527,224959782,3181.15649414,1.29481744,1379.99975585
0.31599997,0.52958023,-0.03589630,198070060,-2018.73779296,224959794,3140.88842773,1.31164908,1379.99975585
0.31999997,0.45266902,-0.01627731,198070051,-2142.33398437,224959807,3226.45751953,1.33968985,1379.99975585
0.32399997,0.60648363,-0.04703712,198070043,-2132.03417968,224959820,3256.65844726,1.37054133,1379.99975585
0.32799997,0.53677171,-0.02466201,198070034,-2224.73144531,224959833,3259.17529296,1.36544346,1379.99975585
0.33199997,0.56530815,-0.01260948,198070025,-2248.76391601,224959846,3314.54345703,1.36551284,1379.99975585
0.33599997,0.35485252,0.04800224,198070016,-2313.99536132,224959860,3319.57690429,1.29348945,1379.99975585
0.33999997,0.34502628,0.04715538,198070006,-2403.25927734,224959873,3382.49536132,1.25553715,1379.99975585
0.34399997,0.48370552,0.00771141,198069997,-2406.69238281,224959887,3452.96411132,1.30740010,1379.99975585
0.34799997,0.45331957,0.00443458,198069987,-2468.49047851,224959900,3457.99755859,1.27808213,1379.99975585
0.35199997,0.49181640,-0.01179122,198069977,-2502.82275390,224959914,3457.99731445,1.30044209,1379.99975585
0.35599997,0.48145285,-0.00729942,198069967,-2592.08666992,224959928,3437.86352539,1.32852101,1379.99975585
0.35999997,0.52538681,-0.01290130,198069956,-2640.15185546,224959942,3500.78198242,1.29862296,1379.99975585
0.36399997,0.51430338,0.00181388,198069946,-2660.75122070,224959956,3563.70068359,1.30733895,1379.99975585
0.36799997,0.42361503,0.01918601,198069935,-2736.28222656,224959971,3654.30322265,1.30017054,1379.99975585
0.37199997,0.54000127,-0.00911521,198069924,-2753.44848632,224959985,3654.30297851,1.30794656,1379.99975585
0.37599997,0.52810138,-0.01309013,198069913,-2846.14550781,224960000,3669.40356445,1.31702935,1379.99975585
0.37999997,0.66292095,-0.04773330,198069901,-2863.31176757,224960014,3674.43701171,1.30612742,1379.99975585
